Requests, Fitness
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,2
12,2
13,2
14,3
15,3
16,4
17,4
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,6
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,8
40,8
41,8
42,8
43,8
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,10
62,10
63,10
64,11
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,14
88,14
89,14
90,14
91,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
101,15
102,15
103,15
104,15
105,15
106,15
107,15
108,15
109,15
110,15
111,15
112,16
113,16
114,16
115,16
116,16
117,16
118,16
119,16
120,16
121,16
122,16
123,16
124,17
125,18
126,19
127,19
128,19
129,19
130,20
131,21
132,21
133,21
134,21
135,21
136,21
137,21
138,21
139,21
140,21
141,21
142,21
143,21
144,21
145,21
146,21
147,21
148,21
149,21
150,21
151,21
152,21
153,21
154,21
155,21
156,21
157,21
158,21
159,22
160,22
161,22
162,22
163,22
164,23
165,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
174,23
175,23
176,23
177,23
178,23
179,23
180,23
181,23
182,23
183,23
184,23
185,23
186,23
187,23
188,24
189,24
190,24
191,24
192,24
193,24
194,25
195,25
196,25
197,25
198,26
199,26
200,27
201,27
202,27
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,27
212,27
213,27
214,27
215,27
216,27
217,27
218,28
219,29
220,30
221,30
222,30
223,30
224,30
225,30
226,30
227,31
228,31
229,31
230,31
231,32
232,32
233,32
234,32
235,32
236,32
237,32
238,33
239,33
240,33
241,33
242,33
243,33
244,33
245,33
246,33
247,33
248,34
249,34
250,35
251,35
252,35
253,35
254,36
255,36
256,36
257,37
258,37
259,37
260,37
261,37
262,37
263,37
264,37
265,37
266,37
267,38
268,38
269,38
270,38
271,38
272,38
273,39
274,39
275,40
276,40
277,40
278,41
279,41
